"","dist_year","enroll_asian","enroll_black","enroll_hisp","enroll_white","enroll_other","enroll_female","enroll_male"
"382","12006_2016-17",132,36,595,969,214,977,969
"383","12340_2011-12",246,149,940,394,344,1043,1030
"384","12340_2012-13",241,154,984,396,336,1015,1096
"385","12340_2013-14",227,145,939,355,324,962,1028
"386","12340_2014-15",239,135,985,311,307,929,1048
"387","12340_2015-16",232,101,953,307,293,877,1009
"388","12340_2016-17",220,88,968,283,275,864,970
"389","12346_2011-12",111,65,484,178,130,469,499
"390","12346_2012-13",97,59,459,148,140,435,468
"391","12346_2013-14",108,61,483,153,135,436,504
"392","12346_2014-15",101,58,472,155,120,435,471
"393","12346_2015-16",103,63,493,145,131,461,474
"394","12346_2016-17",117,41,483,138,122,413,488
"395","12420_2011-12",946,410,1423,381,1208,2102,2266
"396","12420_2012-13",901,408,1473,352,1215,2095,2254
"397","12420_2013-14",875,368,1425,298,1235,2038,2163
"398","12420_2014-15",865,338,1499,274,1232,2028,2180
"399","12420_2015-16",859,323,1475,253,1205,1949,2166
"400","12420_2016-17",857,280,1474,243,1206,1925,2135
"401","12426_2011-12",373,178,672,138,567,916,1012
"402","12426_2012-13",385,162,717,118,574,928,1028
"403","12426_2013-14",395,135,688,118,575,900,1011
"404","12426_2014-15",359,124,669,105,538,855,940
"405","12426_2015-16",394,119,692,101,514,916,904
"406","12426_2016-17",435,105,675,91,490,872,924
"407","12590_2011-12",2132,4639,5939,735,618,6844,7219
"408","12590_2012-13",2129,4367,6266,778,648,6829,7359
"409","12590_2013-14",1986,4265,6504,834,746,6871,7464
"410","12590_2014-15",2171,4137,6909,845,826,7032,7856
"411","12590_2015-16",2137,4089,7429,955,830,7357,8083
"412","12590_2016-17",2242,4071,7760,963,914,7511,8439
"413","12593_2011-12",15,168,65,159,129,351,185
"414","12593_2012-13",15,160,73,192,96,358,178
"415","12593_2013-14",15,137,86,239,105,396,186
"416","12593_2014-15",25,141,88,261,117,430,202
"417","12593_2015-16",32,116,86,269,143,438,208
"418","12593_2016-17",32,120,83,244,193,441,231
"419","12596_2011-12",650,1591,1422,363,239,2035,2230
"420","12596_2012-13",679,1481,1490,358,259,2036,2231
"421","12596_2013-14",747,1373,1551,394,302,2079,2288
"422","12596_2014-15",580,1225,1638,350,314,1923,2184
"423","12596_2015-16",569,1149,1751,328,294,1957,2134
"424","12596_2016-17",580,1071,1775,395,298,1990,2129
"425","12750_2011-12",157,21,39,577,38,378,454
"426","12750_2012-13",147,22,28,583,36,383,433
"427","12750_2013-14",150,27,29,595,43,399,445
"428","12750_2014-15",139,25,32,608,63,405,462
"429","12750_2015-16",136,33,40,596,77,430,452
"430","12750_2016-17",125,22,50,542,147,441,445
"431","12756_2011-12",75,6,14,291,15,197,204
"432","12756_2012-13",77,8,13,286,27,197,214
"433","12756_2013-14",69,7,18,275,46,199,216
"434","12756_2014-15",66,6,19,284,42,207,210
"435","12756_2015-16",56,4,29,289,53,203,228
"436","12756_2016-17",48,3,34,304,103,225,267
"437","12910_2011-12",487,563,1156,338,342,1380,1506
"438","12910_2012-13",414,559,1192,297,350,1354,1458
"439","12910_2013-14",389,503,1239,286,347,1313,1451
"440","12910_2014-15",395,493,1265,253,346,1296,1456
"441","12910_2015-16",405,491,1239,248,355,1277,1461
"442","12910_2016-17",437,488,1261,235,345,1298,1468
"443","12916_2011-12",151,228,595,141,172,616,671
"444","12916_2012-13",184,228,596,131,166,610,695
"445","12916_2013-14",195,219,604,136,157,645,666
"446","12916_2014-15",182,188,588,132,156,602,644
"447","12916_2015-16",183,164,582,113,153,601,594
"448","12916_2016-17",189,174,623,110,173,632,637
"449","13090_2011-12",632,640,2085,532,522,2141,2270
"450","13090_2012-13",651,649,2145,485,491,2150,2271
"451","13090_2013-14",646,614,2192,462,473,2166,2221
"452","13090_2014-15",640,575,2181,436,477,2097,2212
"453","13090_2015-16",657,560,2231,414,468,2123,2207
"454","13090_2016-17",681,535,2255,401,485,2156,2201
"455","13096_2011-12",174,193,853,170,176,764,802
"456","13096_2012-13",190,213,831,180,177,762,829
"457","13096_2013-14",181,231,861,169,189,765,866
"458","13096_2014-15",174,209,846,150,181,765,795
"459","13096_2015-16",201,192,910,129,180,797,815
"460","13096_2016-17",198,184,916,119,194,782,829
"461","14080_2012-13",1,1,66,90,6,76,88
"462","14080_2014-15",1,3,56,88,5,78,75
"463","14080_2015-16",6,4,62,96,8,89,87
"464","14080_2016-17",8,4,69,106,4,87,104
"465","14086_2011-12",0,1,23,39,1,38,26
"466","14086_2012-13",0,2,27,40,0,33,36
"467","14086_2013-14",0,2,32,50,0,43,41
"468","14086_2014-15",2,3,41,56,4,48,58
"469","14086_2015-16",2,1,50,60,3,51,65
"470","14086_2016-17",1,2,47,51,1,45,57
"471","14240_2011-12",311,139,816,3008,192,2183,2283
"472","14240_2012-13",295,146,874,3083,194,2238,2354
"473","14240_2013-14",274,153,930,2911,229,2164,2333
"474","14240_2014-15",290,141,934,2771,288,2134,2290
"475","14240_2015-16",262,124,980,2820,300,2158,2328
"476","14240_2016-17",268,130,1005,2780,347,2164,2366
"477","14246_2011-12",125,77,421,1281,79,953,1030
"478","14246_2012-13",121,79,426,1254,92,971,1001
"479","14246_2013-14",123,57,450,1245,119,982,1012
"480","14246_2014-15",108,65,461,1249,133,954,1062
"481","14246_2015-16",97,67,421,1276,144,1007,998
"482","14246_2016-17",109,63,435,1261,133,1015,986
"483","14320_2011-12",3,3,67,272,13,160,198
"484","14320_2012-13",2,2,76,237,9,151,175
"485","14326_2011-12",0,3,35,123,7,81,87
"486","14326_2012-13",0,3,29,125,6,76,87
"487","14326_2013-14",0,3,22,104,4,55,78
"488","14326_2014-15",0,0,29,124,8,68,93
"489","14326_2015-16",0,1,35,136,7,85,94
"490","14326_2016-17",0,2,33,120,8,82,81
"491","14400_2015-16",1,1,8,25,14,24,25
"492","14570_2014-15",2,2,13,37,6,29,31
"493","15070_2011-12",6,4,49,187,50,143,153
"494","15070_2012-13",5,2,40,158,43,117,131
"495","15070_2013-14",2,3,35,137,32,107,102
"496","15070_2014-15",8,6,53,151,53,137,134
"497","15070_2015-16",10,5,39,139,67,125,135
"498","15070_2016-17",9,5,52,147,48,120,141
"499","15076_2011-12",74,18,44,123,41,143,157
"500","15076_2012-13",58,27,41,180,43,175,174
"501","15076_2013-14",49,27,51,172,52,162,189
"502","15076_2014-15",43,11,51,127,45,125,152
"503","15076_2015-16",35,9,40,134,40,118,140
"504","15076_2016-17",38,16,49,129,39,136,135
"505","15150_2011-12",462,104,444,1373,231,1234,1380
"506","15150_2012-13",435,50,510,1136,321,1183,1269
"507","15150_2013-14",401,56,471,1126,307,1102,1259
"508","15150_2014-15",347,61,461,1097,306,1069,1203
"509","15150_2015-16",335,63,437,1081,311,1044,1183
"510","15150_2016-17",299,74,435,1101,253,1005,1157
"511","15230_2011-12",0,0,0,0,0,0,0
"512","15230_2012-13",0,0,0,0,0,0,0
"513","15230_2013-14",0,0,0,0,0,0,0
"514","15230_2014-15",0,0,0,1,0,0,1
"515","15230_2015-16",0,0,0,1,0,0,1
"516","15230_2016-17",0,0,0,1,1,0,2
"517","15236_2011-12",14,4,88,114,47,133,134
"518","15236_2012-13",13,2,89,115,45,125,139
"519","15236_2013-14",13,2,99,117,54,146,139
"520","15236_2014-15",12,3,95,100,53,132,131
"521","15236_2015-16",13,2,86,114,46,140,121
"522","15236_2016-17",10,2,100,122,43,136,141
"523","15310_2011-12",13,10,127,1119,89,640,718
"524","15310_2012-13",8,13,136,1074,106,626,711
"525","15310_2013-14",7,10,150,1023,120,615,695
